"Country Name","Country Code","Control of Corruption: Estimate","Current health expenditure per capita, PPP (current international $)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","GDP per capita, PPP (constant 2021 international $)","Life expectancy at birth, total (years)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
"France","FRA",1.18482184410095,5617.51648515809,24.354621887207,53969.0375681581,82.2292682926829,9.82524600527018
"French Polynesia","PYF",NA,NA,NA,NA,83.55,NA
"Gabon","GAB",-1.01552844047546,417.720468081148,NA,18702.6905177984,65.694,27.5241895785238
"Gambia, The","GMB",-0.281129717826843,68.5800325204671,9.04935646057129,2932.28059517915,62.906,54.8732916241171
"Georgia","GEO",0.617694795131683,1463,34.5390701293945,22590.5293543813,71.587,17.6183021493385
"Germany","DEU",1.66416621208191,8166.12897064057,29.2060985565186,63097.7108010283,80.7056097560976,10.6378495266542
"Ghana","GHA",-0.0990211144089699,239.492292081781,6.22969007492065,6796.47361923819,63.945,49.6566317016668
"Gibraltar","GIB",NA,NA,NA,NA,82.83,NA
"Greece","GRC",0.0978469252586365,2553.47799561598,28.9304580688477,36821.2753699812,80.6365853658537,14.9419055519621
"Greenland","GRL",1.02827477455139,NA,NA,67604.0507009986,71.5404878048781,6.48950745924949
"Grenada","GRD",0.558168590068817,791.151936387244,5.98692035675049,16946.473156154,75.335,24.2647371353562
"Guam","GUM",1.25135612487793,NA,NA,NA,78.33,9.88784013723531
"Guatemala","GTM",-1.12161290645599,541.653254160653,4.16229772567749,12389.385871782,68.674,20.2102810509295
"Guinea","GIN",-0.897673428058624,108.456745731476,22.7037582397461,3949.34013510824,58.985,42.8781068854259
"Guinea-Bissau","GNB",-1.1783698797226,145.675628903208,2.70413637161255,2578.80453427114,59.861,48.5028970455265
"Guyana","GUY",-0.383745014667511,655.160010384085,4.46917009353638,49315.1603107751,65.989,26.0920734823741
"Haiti","HTI",-1.44387412071228,126.425462608898,4.53101015090942,2956.46213701659,63.728,20.938501996786
"Heavily indebted poor countries (HIPC)","HPC",NA,133.265144340147,NA,3055.7581543954,62.8252840639938,35.5686496689578
"High income","HIC",NA,5680.35059734216,NA,57259.7318788704,79.5066307772331,13.0741946143558
"Honduras","HND",-1.11195814609528,427.383848436424,9.63000011444092,6468.30192068321,70.728,18.1436603524166
"Hong Kong SAR, China","HKG",1.62514543533325,NA,NA,64467.5756817829,83.6609756097561,NA
"Hungary","HUN",-0.00049813062651082,2176,26.128345489502,40167.9924788499,76.0170731707317,14.6412354449754
"IBRD only","IBD",NA,722.760996750532,NA,17495.9211620017,72.9134905321011,37.5187752981072
"IDA & IBRD total","IBT",NA,577.31781508156,NA,13927.5041711256,70.4671467913885,38.2561749467898
"IDA blend","IDB",NA,175.075226836042,NA,5732.93654378486,61.2894334441231,45.9631989187825
"IDA only","IDX",NA,147.860963864781,NA,4165.16544625988,65.3642224172282,37.4454043549418
"IDA total","IDA",NA,157.374174362016,NA,4668.54604701699,64.0074332547117,40.3011137881686
"Iceland","ISL",1.55130612850189,5824,34.2301330566406,66880.0658104169,82.1707317073171,5.48155807169081
"India","IND",-0.366014748811722,204,13.2299995422363,9160.06365370888,67.744,59.8919808842351
"Indonesia","IDN",-0.48687219619751,355.747929994664,9.32683753967285,13889.8828825663,68.25,19.4270918962783
"Iran, Islamic Rep.","IRN",-1.23189043998718,920.944849817089,18.2504196166992,15912.0299184195,74.556,34.0157895718045
"Iraq","IRQ",-1.32103753089905,457.490777869761,10.4068899154663,12711.0616746745,71.336,37.7315693030309
"Ireland","IRL",1.5752888917923,7875.46879842386,37.2724380493164,115401.125283215,83.0560975609756,7.8923946735653
"Isle of Man","IMN",NA,NA,NA,NA,80.762,NA
"Israel","ISR",0.829359412193298,3089,38.054126739502,48356.0899146248,82.7,19.5556432093837
"Italy","ITA",0.550129175186157,4675,16.4901714324951,52588.6899412963,82.9,14.8936858575121
"Jamaica","JAM",-0.112082988023758,651.025045203884,10.9498100280762,10291.3126701479,70.629,17.0706325020849
"Japan","JPN",1.3956606388092,4668,NA,45948.6761132298,83.9963414634146,12.9378727869587
"Jordan","JOR",0.0886586904525757,696.324977975947,20.9268398284912,9362.58776056423,74.215,31.2597313487439
"Kazakhstan","KAZ",-0.26659306883812,756,37.6751594543457,34703.2349286604,74.44,20.8569853852639
"Kenya","KEN",-0.770913004875183,209.4990889963,6.09258985519409,5682.98916248678,62.055,19.5705272264405
"Kiribati","KIR",0.411750495433807,257,4.06036996841431,3195.87039847415,67.661,11.5481206795464
"Korea, Dem. People's Rep.","PRK",-1.58447635173798,NA,34.5359725952148,NA,73.578,31.1237582148846
"Korea, Rep.","KOR",0.894088566303253,4946.78335928914,35.6374397277832,49995.4877276869,82.6804878048781,26.0153634264606
"Kosovo","XKX",-0.185286059975624,NA,NA,13642.6769565744,79.524,NA
"Kuwait","KWT",0.206611827015877,2642.88232411782,11.1199998855591,46458.2004898213,80.264,52.7825054963873
"Kyrgyz Republic","KGZ",-1.22109532356262,251,24.2648506164551,6403.14308780476,72.0487804878049,26.7613844313409
"Lao PDR","LAO",-0.973836362361908,213.253714472485,5.19384670257568,8372.15591874407,68.999,22.4289603771825
"Late-demographic dividend","LTE",NA,1055.87840074457,NA,23425.0736826975,77.1043499415742,30.0403374875238
"Latin America & Caribbean","LCN",NA,1267.61590116521,NA,19565.6961460099,73.7501213409412,15.6103235747721
"Latin America & Caribbean (excluding high income)","LAC",NA,1271.70646395251,NA,18721.1448191566,73.6091669105209,15.478743933266
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",NA,1244.06301547308,NA,19466.5916715997,73.6413370777084,15.5706987279673
"Latvia","LVA",0.698113977909088,2171,31.9501533508301,38333.1714338943,74.580487804878,12.4865833165492
"Least developed countries: UN classification","LDC",NA,128.155438176547,NA,3819.17621460769,64.8802732533622,37.4649677877049
"Lebanon","LBN",-1.22706246376038,1545.49384947324,22.1418571472168,11474.7505845558,74.416,20.5970090578064
"Lesotho","LSO",-0.509478509426117,312.333439548374,5.61074018478394,2595.82952310453,53.036,21.1810593859544
"Liberia","LBR",-0.888349294662476,118.531976509001,5.0644998550415,1616.92373356695,61.1,37.1591253581791
"Libya","LBY",-1.52501881122589,NA,NA,12478.1434623596,72.151,36.4844732200514
"Liechtenstein","LIE",1.71017241477966,NA,NA,NA,84.319512195122,NA
"Lithuania","LTU",0.781545519828796,3709,41.4149131774902,46118.092510024,75.7926829268293,10.2465023749528
"Low & middle income","LMY",NA,532.009935787568,NA,12888.24015851,70.350086648099,39.2122422571091
"Low income","LIC",NA,104.277926592034,NA,2325.41772274995,63.0187828193203,35.6253919875541
"Lower middle income","LMC",NA,236.931645293263,NA,8379.9744879764,67.1659174849035,49.6175286022725
"Luxembourg","LUX",1.92665910720825,7540,42.3309173583984,130373.477941928,83.0463414634146,8.4591046194554
"Macao SAR, China","MAC",0.849051773548126,NA,NA,104961.643485494,85.377,NA
"Madagascar","MDG",-1.00018215179443,51.2453327599952,2.75999999046326,1643.30934795137,65.23,12.7945386496097
"Malawi","MWI",-0.602811515331268,113.097229163149,0.872150123119354,1648.43651796379,62.898,22.3370229833525
"Malaysia","MYS",0.295621365308762,1107.52191893857,14.5600004196167,32812.2997525336,76.26,17.8197510834605
"Maldives","MDV",-0.396943330764771,1642,10.9565267562866,22286.9801703571,80.839,12.3139819141366
"Mali","MLI",-0.861831545829773,88.5634341362204,3.81480407714844,2394.67216396924,59.417,57.3904374306355
"Malta","MLT",0.10974658280611,4599,22.6174163818359,59548.0829356446,82.7,12.5909175285117
"Marshall Islands","MHL",0.411750495433807,711.123329746033,6.20028162002563,6786.69569336005,65.146,10.8031103210849
